X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0018216660755231927,62.68897264968976,0.5782936871358174
2.0,2.0,train,0.001328761478952697,38.37319356876872,0.5000671248190284
3.0,3.0,train,0.0010107628887513675,22.972688231144588,0.4321036550335648
4.0,4.0,train,7.267994983563553E-4,14.61785323718492,0.35363857244190416
5.0,5.0,train,4.525148582766831E-4,7.7743038281406704,0.2540905579425991
6.0,6.0,train,7.140642127350137E-4,14.306257238908097,0.34960835336724255
7.0,7.0,train,6.092818027835805E-4,11.512019332673392,0.3144377506397339
8.0,8.0,train,0.0017009517185523296,56.75399255927583,0.5614894559974397
9.0,9.0,train,0.0015871793844545665,49.628196470890764,0.5443778359153528
10.0,10.0,train,0.0013001063117827978,36.487971351906836,0.49461702027460297
11.0,11.0,train,7.706994400863197E-4,15.78548762552299,0.36715635258260504
12.0,12.0,train,0.00249454407835051,90.5081329148196,0.6525183011506592
13.0,13.0,train,0.002952905584837758,98.75799333061453,0.6897200506866297
14.0,14.0,train,0.0015969225977900557,50.10651799813573,0.545895349481926
15.0,15.0,train,9.08037985920276E-4,20.09690018885365,0.40601888399143216
16.0,16.0,train,0.0021019954487551977,77.08147324344142,0.6127551666540997
17.0,17.0,train,0.0024940499989487283,90.25818892697599,0.6524733866752936
18.0,18.0,train,0.0016765539952652633,54.388247646296094,0.5579291212977192
19.0,19.0,train,0.0023864520851699608,86.598670624713,0.6424075509831892
20.0,20.0,train,0.0018546058319037413,64.56629483725531,0.5826577641092093
21.0,21.0,train,0.0011481980591282496,28.85953345056019,0.4636181677647444
22.0,22.0,train,0.002598447218636029,93.30951578541881,0.6617125462969992
23.0,23.0,train,6.536515983596306E-4,13.034566395569083,0.32978456800034006
24.0,24.0,train,0.0013793260736282569,40.27115644223244,0.5094029505695057
25.0,25.0,train,0.0026978022352833054,96.22256204106638,0.6700604915647015
26.0,26.0,train,0.0019717909638387815,69.75279736679911,0.5974769776154271
27.0,27.0,train,0.002267869340491806,84.51372303801934,0.6306163768539269
28.0,28.0,train,0.0017012684496113314,56.77296253648914,0.5615352991955636
29.0,29.0,train,0.0024523576961263584,89.0180913076611,0.6486410420126667
30.0,30.0,train,0.0014927388616872489,45.51581600045769,0.5291254414251502
31.0,31.0,train,0.0021429870824466947,79.4182023359335,0.6173279141568786
32.0,32.0,train,0.001081711067141688,26.515185997789754,0.4488211964952348
33.0,33.0,train,0.001357044509005432,39.45971072825454,0.505332395223048
34.0,34.0,train,0.0019631993276511012,69.09458970148464,0.5964263253260595
35.0,35.0,train,0.001891268404108813,65.66652943931018,0.5874100601031779
36.0,36.0,train,0.0015422735770843062,47.32381176320351,0.5372505723334821
37.0,37.0,train,0.0021478651233237133,79.84777539985271,0.6178648949271834
38.0,38.0,train,0.001731509461558167,58.29881721546538,0.5658686286013471
39.0,39.0,train,0.002277171533386332,85.19634785309098,0.631569366733886
40.0,40.0,train,0.0024087406008782416,87.55719516156717,0.6445402496495112
41.0,41.0,train,0.0011097992887964256,27.713850709788794,0.45517080141916183
42.0,42.0,train,0.0016841712627634756,54.89299904802083,0.5590468929708657
43.0,43.0,train,0.0013951180268973625,40.842200830433214,0.5122476066631043
44.0,44.0,train,0.001361725353439794,39.61958966611273,0.5061931201735311
45.0,45.0,train,4.3282992169455E-4,7.287992805074228,0.24575369048574525
46.0,46.0,train,0.0020998348618913687,76.87218551369524,0.6125111125057825
47.0,47.0,train,0.0010730349641738905,25.76049512075461,0.4468298560447538
48.0,48.0,train,3.663130734311683E-4,5.81720136719246,0.21614989068425752
49.0,49.0,train,5.416142309612535E-4,9.63644884659426,0.2896303379413033
50.0,50.0,train,0.0012444009231323766,33.781082541680405,0.4836746644105779
51.0,51.0,train,4.6753777384037624E-4,8.077490388715585,0.26033003074536026
52.0,52.0,train,0.0010720813605004775,25.643887311873005,0.44661010677071483
53.0,53.0,train,6.431662395610798E-4,12.598333303915435,0.3262201773215413
54.0,54.0,train,0.0016546582848218144,52.73704282667714,0.5546843169388422
55.0,55.0,train,4.116302517008877E-4,7.005594802412245,0.23656435073633217
56.0,56.0,train,0.0014545558580673385,43.17959340847052,0.52266490982872
57.0,57.0,train,0.002759407210321783,97.31874927381266,0.6750328130295995
58.0,58.0,train,0.0021247452309207143,78.35118672580408,0.6153063838437306
59.0,59.0,train,0.0011279298584794318,28.279956212564084,0.4591922664486419
60.0,60.0,train,0.002545092095385661,92.02540646338377,0.65705283712931
61.0,61.0,train,0.001761291159106929,60.0408667832243,0.5700532375587976
62.0,62.0,train,0.00179304002173785,61.641369616810856,0.574426315307782
63.0,63.0,train,0.0015345407402899173,46.818368283559806,0.5360006827333151
64.0,64.0,train,0.0021289407466981588,78.56436526970245,0.6157732125523774
65.0,65.0,train,0.002043611558576176,73.85711638812523,0.606050317769145
66.0,66.0,train,0.0019775006272354993,70.14822691715287,0.5981721792928114
67.0,67.0,train,0.0017324046581623865,58.645535745276916,0.5659955992411217
68.0,68.0,train,0.00641012812572674,99.99999964515635,0.8283389402406877
69.0,69.0,train,0.0018361324138847172,63.64410185348184,0.5802214717958929
70.0,70.0,train,0.0026626766475405833,95.6833715378144,0.6671566873113108
71.0,71.0,train,0.0024966209785641557,90.75731456226386,0.6527069756498083
72.0,72.0,train,0.0019972107287288153,70.94374404618168,0.600553713528173
73.0,73.0,train,0.002790412457273633,97.87441891377696,0.6774790706232579
74.0,74.0,train,0.0021139645647606786,77.92730414456479,0.6141016167010966
75.0,75.0,train,0.0020275987507517557,73.15314860485667,0.6041706294605393
76.0,76.0,train,0.0016392363131225742,51.403279367556756,0.5523701402230787
77.0,77.0,train,0.0015266702058967557,46.35863929252453,0.5347215840635697
78.0,78.0,train,9.005156664784523E-4,19.776615196285213,0.404014274202193
