X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0014272176904257844,44.40290910211402,0.4885293429945609
2.0,2.0,train,0.0015634761824704576,49.38917869216212,0.5113215910928297
3.0,3.0,train,0.0015270639594975868,47.84583216641306,0.5054321245512025
4.0,4.0,train,4.5140299179444685E-5,0.10099335563907191,0.029323687035744186
5.0,5.0,train,9.629818314703889E-4,30.261895403225896,0.3918986523411157
6.0,6.0,train,4.893546512793521E-4,13.570155381486547,0.24670096250396586
7.0,7.0,train,8.808481482395149E-4,27.020613185519203,0.3708697029622377
8.0,8.0,train,0.001982784392445947,60.79932553629107,0.5702532693664674
9.0,9.0,train,0.007292239788250546,97.48852790887624,0.8299387423047829
10.0,10.0,train,0.004600089230512745,88.87693727555866,0.7548147195906976
11.0,11.0,train,0.0020496856661883067,62.00932338957458,0.5783659128852217
12.0,12.0,train,0.005517128477646666,92.95889150069678,0.7868832855581357
13.0,13.0,train,0.012864021985866282,100.0,0.8959317089108798
14.0,14.0,train,0.0029555549436263767,73.58759067648674,0.6642002919968186
15.0,15.0,train,8.113931670366975E-4,24.563049675616313,0.3519177560234674
16.0,16.0,train,4.929437414422699E-4,13.780213442436324,0.24806151031389
17.0,17.0,train,0.012250681012722541,98.71359310988463,0.8912878591593677
18.0,18.0,train,4.933767948245975E-4,13.801409577973494,0.24822533945132585
19.0,19.0,train,0.00424121959927571,85.77262302651081,0.7394733937083633
20.0,20.0,train,9.78299556510552E-4,30.823594220900613,0.39566592478268486
21.0,21.0,train,0.002959019675632649,73.88304341878755,0.6644615514208396
22.0,22.0,train,0.0038807222379579967,81.69839791099801,0.7219999391797053
23.0,23.0,train,0.0013310048976320386,41.564095549972116,0.4711113752609769
24.0,24.0,train,0.0019347587661725154,59.81619842972159,0.5642343528517458
25.0,25.0,train,0.0021004614834146435,62.426661465190584,0.5843215720275937
26.0,26.0,train,0.0010015263941839723,31.726537410470392,0.40129015741515184
27.0,27.0,train,0.006638039892614275,96.03870201078175,0.816258192478155
28.0,28.0,train,0.00400238984955759,82.49173956407535,0.7281534561177573
29.0,29.0,train,0.0013196093552970774,41.12652257088929,0.4689694790683243
30.0,30.0,train,0.0025756149503451363,69.74065229979914,0.6328518169820458
31.0,31.0,train,0.0019156423770821866,58.85732725468951,0.5617913752588903
32.0,32.0,train,0.001490909885433035,46.262656501384285,0.49944225948468096
33.0,33.0,train,0.0019285555652169444,59.39555021863441,0.5634446059871521
34.0,34.0,train,8.076084395046009E-4,24.330455859148447,0.35085217111264805
35.0,35.0,train,0.001613398702141872,51.30789213568523,0.519171943620458
36.0,36.0,train,0.0034192521676588102,77.66108429103,0.6958904615588762
37.0,37.0,train,0.0028244971426747913,72.7172716537087,0.6540100043618366
38.0,38.0,train,0.00401150254630697,83.29352340195967,0.7286033963760347
39.0,39.0,train,0.0013305740424153895,41.52557080890082,0.4710307064315698
