prediction,x,y,pres_abs,variables,plot
0.45702726157101126,-120.82859836208291,35.74494109174076,1,all,1
0.3024535661752099,-120.82839623152083,35.745446418146,1,all,1
0.4517536675065513,-120.82829516623977,35.7456485487081,1,all,1
0.4008733408958999,-120.82819410095873,35.74595174455124,1,all,1
0.7328934922136047,-120.82869942736396,35.74524428758391,1,all,1
0.5658041232232729,-120.82859836208291,35.745446418146,1,all,1
0.5297215643524642,-120.82849729680187,35.74574961398915,1,all,1
0.631568533650811,-120.82839623152083,35.74595174455124,1,all,1
0.7004284415234712,-120.82880049264502,35.74524428758391,1,all,1
0.5038271799747107,-120.82869942736396,35.74554748342705,1,all,1
0.5038271799747107,-120.82859836208291,35.74574961398915,1,all,1
0.758837077056616,-120.8290026232071,35.74534535286495,1,all,1
0.6079486285573714,-120.82890155792606,35.74554748342705,1,all,1
0.7031278494186135,-120.82880049264502,35.7458506792702,1,all,1
0.4818738853241815,-120.82869942736396,35.74605280983229,1,all,1
0.477114303453511,-120.82849729680187,35.74635600567544,1,all,1
0.5351452806781402,-120.8292047537692,35.74534535286495,1,all,1
0.6656322300601718,-120.8290026232071,35.74554748342705,1,all,1
0.6834490340523984,-120.82890155792606,35.7458506792702,1,all,1
0.6958014339076696,-120.82910368848816,35.7458506792702,1,all,1
0.5915177921877058,-120.8290026232071,35.746153875113336,1,all,1
0.5842401767359673,-120.82890155792606,35.74635600567544,1,all,1
0.5376332882575455,-120.82869942736396,35.74665920151858,1,all,1
0.3702123908525584,-120.82930581905025,35.7456485487081,1,all,1
0.6504385377903068,-120.8292047537692,35.74595174455124,1,all,1
0.44046229143089716,-120.8290026232071,35.74645707095648,1,all,1
0.5446680510470869,-120.82950794961235,35.74574961398915,1,all,1
0.34902693971011434,-120.8294068843313,35.74595174455124,1,all,1
0.6443086536100203,-120.82930581905025,35.74625494039439,1,all,1
0.709022045133046,-120.8292047537692,35.74645707095648,1,all,1
0.45828638830522217,-120.8290026232071,35.746760266799626,1,all,1
0.534847673060355,-120.82960901489339,35.74635600567544,1,all,1
0.8308188100660556,-120.82950794961235,35.74655813623753,1,all,1
0.8296192334020557,-120.82960901489339,35.74665920151858,1,all,1
0.8279853948765892,-120.8298111454555,35.74665920151858,1,all,1
0.39853610132463224,-120.83021540657968,35.74625494039439,1,all,1
0.5952827194653407,-120.82829516623977,35.74686133208068,1,all,1
0.5926585374352954,-120.82859836208291,35.74686133208068,1,all,1
0.48382727508600787,-120.82880049264502,35.74696239736173,1,all,1
0.6191773173709225,-120.82910368848816,35.74706346264277,1,all,1
0.6661444493598914,-120.8294068843313,35.74686133208068,1,all,1
0.5729134588736244,-120.8292047537692,35.74706346264277,1,all,1
0.494573878857574,-120.82950794961235,35.74686133208068,1,all,1
0.6258608584809304,-120.8294068843313,35.74716452792382,1,all,1
0.665454214976414,-120.82971008017445,35.74696239736173,1,all,1
0.7066848106102231,-120.82960901489339,35.74716452792382,1,all,1
0.4943720378121248,-120.82991221073654,35.74726559320487,1,all,1
0.5734249179451543,-120.83011434129864,35.74706346264277,1,all,1
0.2636404240965342,-120.83041753714178,35.74686133208068,1,all,1
0.7558133062497912,-120.83021540657968,35.747366658485916,1,all,1
0.8669258779238772,-120.83031647186074,35.74746772376697,1,all,1
0.443284459196103,-120.82849729680187,35.74514322230286,0,all,1
0.3373865038166821,-120.82809303567768,35.746153875113336,0,all,1
0.2857343922589969,-120.82880049264502,35.74494109174076,0,all,1
0.46216729808821455,-120.82819410095873,35.74625494039439,0,all,1
0.2602181608863748,-120.82809303567768,35.74645707095648,0,all,1
0.24536644910740632,-120.82799197039662,35.746760266799626,0,all,1
0.10793581742647569,-120.8290026232071,35.74504215702181,0,all,1
0.578464266160407,-120.82849729680187,35.74605280983229,0,all,1
0.3899278216169436,-120.82839623152083,35.74625494039439,0,all,1
0.20532113020558002,-120.82829516623977,35.74655813623753,0,all,1
0.15858453438015688,-120.82910368848816,35.74504215702181,0,all,1
0.27289811827734634,-120.82839623152083,35.74655813623753,0,all,1
