X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,8.525013327257093E-4,25.272834076555004,0.3391823706603427
2.0,2.0,train,0.00634763650043398,85.0148772327196,0.7926088255664251
3.0,3.0,train,4.733759737706322E-4,12.032103311658457,0.22179701138163854
4.0,4.0,train,0.008409900328803085,92.34146297548008,0.8350776775571696
5.0,5.0,train,8.114320618313902E-4,24.276025860373313,0.3282051635310722
6.0,6.0,train,0.0015476897032267246,48.82449669640217,0.4823582863448845
7.0,7.0,train,0.002742274230071347,67.78516729940661,0.6227948864935781
8.0,8.0,train,0.011784105255823121,98.73322341622344,0.876467153672886
9.0,9.0,train,4.6795881112079746E-4,11.699161346314774,0.21981677076362555
10.0,10.0,train,0.010283436809489904,94.26770728519227,0.8609466729939242
11.0,11.0,train,0.01266784118499279,100.0,0.8840861353641575
12.0,12.0,train,5.269038062887738E-4,13.775487519043278,0.24083689245189363
13.0,13.0,train,0.003543001153336772,72.77245282142498,0.6808356325478557
14.0,14.0,train,0.002413482582476183,63.93469329649663,0.5923554527160241
15.0,15.0,train,0.00778712004396062,90.69833891655202,0.8242065772265369
16.0,16.0,train,0.0028627834148741713,69.1927828549511,0.6328434861018
17.0,17.0,train,3.1031384895531305E-4,6.701399106028894,0.15742274272535087
18.0,18.0,train,0.002578376592504693,66.19450502793984,0.6082114948486363
19.0,19.0,train,0.003339148134829384,71.39954346326326,0.6678232331882827
20.0,20.0,train,0.005119998694166765,82.67333931676279,0.7550619947056915
21.0,21.0,train,0.0026176197083765053,66.71635740576001,0.6118050280572014
