Predictor variable,Categorical,Sample average
canopy.cover,false,0.7719111473936784
downed.wood.cover,false,0.04136633697750145
elevation,false,438.1296616939076
grass.cover,false,0.4219389007541171
heat.load.index,false,0.6072298162861874
litter.cover,false,0.43504031159375844
slope,false,18.4596808082179
