prediction,x,y,pres_abs,variables,plot,test_auc
0.0972864567561058,-120.82859836208293,35.74494109174076,1,all,1,0.7129435107376284
0.0664975376773719,-120.82839623152083,35.745446418146,1,all,1,0.7129435107376284
0.05872161315600279,-120.82829516623978,35.745648548708104,1,all,1,0.7129435107376284
0.129000744431404,-120.82819410095874,35.74595174455124,1,all,1,0.7129435107376284
0.08786802451058769,-120.82869942736397,35.74524428758391,1,all,1,0.7129435107376284
0.13767890652377238,-120.82859836208293,35.745446418146,1,all,1,0.7129435107376284
0.06847383686160098,-120.82849729680188,35.74574961398915,1,all,1,0.7129435107376284
0.1498651146648116,-120.82839623152083,35.74595174455124,1,all,1,0.7129435107376284
0.12773212919953555,-120.82880049264503,35.74524428758391,1,all,1,0.7129435107376284
0.0762497613829701,-120.82869942736397,35.74554748342705,1,all,1,0.7129435107376284
0.0762497613829701,-120.82859836208293,35.74574961398915,1,all,1,0.7129435107376284
0.13884427572734498,-120.82900262320712,35.74534535286496,1,all,1,0.7129435107376284
0.0780566077059851,-120.82890155792607,35.74554748342705,1,all,1,0.7129435107376284
0.10556486142012479,-120.82880049264503,35.7458506792702,1,all,1,0.7129435107376284
0.1498651146648116,-120.82869942736397,35.74605280983229,1,all,1,0.7129435107376284
0.12874631399532946,-120.82849729680188,35.74635600567544,1,all,1,0.7129435107376284
0.10659175696090017,-120.82920475376922,35.74534535286496,1,all,1,0.7129435107376284
0.10143127783639122,-120.82900262320712,35.74554748342705,1,all,1,0.7129435107376284
0.10697290446598957,-120.82890155792607,35.7458506792702,1,all,1,0.7129435107376284
0.11766304642385551,-120.82910368848816,35.7458506792702,1,all,1,0.7129435107376284
0.09212597763159684,-120.82900262320712,35.746153875113336,1,all,1,0.7129435107376284
0.0780566077059851,-120.82890155792607,35.74635600567544,1,all,1,0.7129435107376284
0.1297078078020769,-120.82869942736397,35.746659201518575,1,all,1,0.7129435107376284
0.06513761485516072,-120.82930581905026,35.745648548708104,1,all,1,0.7129435107376284
0.12608324450264533,-120.82920475376922,35.74595174455124,1,all,1,0.7129435107376284
0.06694446117817572,-120.82900262320712,35.74645707095648,1,all,1,0.7129435107376284
0.07960478708575759,-120.82950794961235,35.74574961398915,1,all,1,0.7129435107376284
0.07511772034233309,-120.8294068843313,35.74595174455124,1,all,1,0.7129435107376284
0.09212597763159684,-120.82930581905026,35.74625494039439,1,all,1,0.7129435107376284
0.1194698927468705,-120.82920475376922,35.74645707095648,1,all,1,0.7129435107376284
0.06694446117817572,-120.82900262320712,35.746760266799626,1,all,1,0.7129435107376284
0.12099926843029575,-120.8296090148934,35.74635600567544,1,all,1,0.7129435107376284
0.23239780493026532,-120.82950794961235,35.74655813623753,1,all,1,0.7129435107376284
0.16899450176756137,-120.8296090148934,35.746659201518575,1,all,1,0.7129435107376284
