X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0010316559602401487,42.09690382649721,0.43395308419840717
2.0,2.0,train,0.0020043912043941252,64.68319979940978,0.5983114976133521
3.0,3.0,train,0.006811701491870787,95.66820846251838,0.835034428853897
4.0,4.0,train,0.0065413891448420705,94.31108846038134,0.8293805944769918
5.0,5.0,train,0.002013605286810369,64.88443109112175,0.5994132741184041
6.0,6.0,train,0.002530447013091734,73.27185173996413,0.6528272825528925
7.0,7.0,train,4.224622957617927E-4,10.756225293007962,0.2389288838035704
8.0,8.0,train,0.003150762250106902,82.2891980162295,0.7007220641329192
9.0,9.0,train,0.0034533662155948066,85.92087502823586,0.7195930075924991
10.0,10.0,train,0.0026979829728668186,75.60572821793335,0.6672112192380361
11.0,11.0,train,0.004735305693929381,90.90286957785564,0.7787058404896088
12.0,12.0,train,0.002104512275538403,67.3625549404775,0.6099680607395925
13.0,13.0,train,0.0027934856629872103,78.09003228145072,0.6748896165612023
14.0,14.0,train,0.004715954527209062,90.42955506301898,0.7779993818353326
15.0,15.0,train,0.0014007847805565697,53.616003653747086,0.510030369143242
16.0,16.0,train,0.0018379381440532582,61.61406641878275,0.5773095749556594
17.0,17.0,train,4.8616242510126674E-4,13.697768141613416,0.26539409879645015
18.0,18.0,train,0.0023721560373627638,72.29943563460152,0.6380460544366098
19.0,19.0,train,2.963411740244722E-4,5.129509482885499,0.18047248409284913
